id,category,name,owner,contact,address,city,cityCode,phone,noRooms,noBeds
"661,""*"",""Gasthof Singula"",""Strelitzer Daouia"",""Gschihay Mateeas"",""Hauptstraße 22"",""Payerbach"",""2650"",""2853103"",62,40"
"145,""*"",""Konditorei Müssauer"",""Gröbler Trinity"",""Götzfried Himat"",""Böhmgasse 19"",""Waidhofen"",""3830"",""2882571"",12,15"
"55,""***"",""Hotel garni Steinfeld"",""Niederhametner Kilian-Noel"",""Klopstech-Wieter Sakine"",""Nikolaus-August-Otto-Straße 4"",""Wiener"",""2700"",""3563381"",79,100"
"353,""*"",""Land- und Seminarpension Gamerith"",""Tichauer Annamária"",""Mowinckel Luta"",""Mottingeramt 41"",""Mottingeramt"",""3532"",""2375369"",54,131"
"332,""***"",""Haus der Pferde"",""Socjnoha Armella"",""Koriska Lilli-Valerie"",""Langschwarza 46"",""Schrems"",""3944"",""4938109"",34,7"
"667,""*"",""Bauernhof Ablass"",""Tejcka Satya"",""Schenkirs Narmin"",""Hochreit 5"",""Göstling"",""3345"",""4364678"",7,26"
"36,""****"",""Hotel Schrannenhof"",""Dejmek Rigon"",""Hurtin Ashna"",""Niedermarkt 17-19"",""Klosterneuburg"",""3400"",""3343992"",25,38"
"682,""**"",""Genießerpension Dopler - Zur schönen Au"",""Edler von Liebenberg Atenea"",""Kesl Szofia"",""Maierhöfnerstraße 6"",""Bad"",""2853"",""1540081"",41,149"
"654,""**"",""Urlaub am Bauernhof"",""Jorky Katharina-Antonia"",""Harthum Edona"",""41 Konradsheim"",""Waidhofen"",""3340"",""0312786"",16,63"
"581,""***"",""Stadthotel Gürtler"",""Aschkenazy Harsimran"",""Steskal Finja-Marie"",""Rathausstraße 13"",""Amstetten"",""3300"",""0440307"",24,24"
"125,""*"",""Gasthof Roderich Hotel"",""Lebert Ketty"",""Hisz Tina-Alexandra"",""Wienerstrasse 59"",""Langenzersdorf"",""2103"",""5451703"",17,73"
"250,""**"",""Hotel Khail"",""Weissenbek Bright"",""Brakl Shenouda"",""Himberger Straße 15"",""Maria"",""2326"",""5933576"",29,144"
"503,""**"",""Haus zu den Zwei Eichen"",""Stoklaska Hanadi"",""Funkelstein Felis"",""Hochstraße 117"",""Perchtoldsdorf"",""2380"",""4095208"",8,19"
"684,""**"",""Weinbauernhof Vier Jahreszeiten"",""Lukatschka Aykan-Aydin"",""Grätzer Jianing"",""Am Hufeisen 3"",""Staatz"",""2134"",""8288116"",6,24"
